Informal definition of cloud computing	Renting or sharing IT resources—​infrastructure, hardware, networks and software—over the internet, with innovative ways to measure, bill and deliver those resources
NIST definition of cloud computing	On-demand network access to a shared pool of configurable computing resources
Four main IT-resource categories in the cloud	Infrastructure; hardware; networks; software
Three cloud service models	Software as a Service (SaaS); Platform as a Service (PaaS); Infrastructure as a Service (IaaS)
SaaS in one sentence	Use the provider’s application without managing the underlying infrastructure
PaaS in one sentence	Deploy and run your own applications in a provider-managed environment
IaaS in one sentence	Full control over virtualised computing, storage, networking and installed software
Definition of a web service	Internet-accessible software that exchanges requests and responses in standardised formats
AWS “Region” vs “Availability Zone”	Region = geographic area hosting multiple data centres; AZ = one isolated data-centre cluster inside a Region that provides fault tolerance
Three common AWS billing factors	Usage time; data transfer (traffic); storage consumed
IAM user vs group vs policy	User = individual identity; group = collection of users sharing permissions; policy = JSON document that defines allowed or denied actions on resources
Identity-based vs resource-based IAM policy	Identity-based is attached to a user, group or role; resource-based is attached directly to the AWS resource being accessed
Authentication vs authorisation	Authentication verifies who you are; authorisation specifies what an authenticated identity is allowed to do
Two cloud storage models	SaaS storage (looks like an extended hard drive, rich UI); IaaS/PaaS storage (independent service or building block, more control, fewer UI features)
Amazon S3 essentials	Access via API or tools; unlimited object storage; high latency; very low cost
Amazon EBS essentials	Network-attached block storage for one EC2 instance; up to 16 TiB; low latency; low cost
EC2 instance store essentials	Local NVMe/SATA attached to the host; up to ~305 TB; very low latency; ephemeral
Amazon EFS essentials	NFS v4.1 file system mounted from EC2; virtually unlimited size; medium latency; medium cost
How is an S3 bucket structured?	Flat key–value namespace; “folders” are 0-byte objects whose names act as prefixes
Typical S3 use-cases	Backup & archive; static website or content hosting; software/patch delivery
Three components of S3 pricing	Stored data (GB-months); request count; outbound data transfer (free to CloudFront or EC2 in same Region)
Purpose of an S3 lifecycle rule	Automatically move objects to cheaper storage tiers or expire/delete them
Key facts about S3 versioning	New upload = new version ID; delete adds a delete marker; recovery or permanent delete requires specifying the exact version ID
S3 replication caveats	Replicates to another bucket (optionally delete markers) but will not replicate hard deletes
Why is S3 highly durable?	Data is automatically replicated across multiple AZs in a Region
Virtualisation definition	Running multiple isolated virtual machines on one physical host
Three benefits of virtualisation	Resource efficiency; high availability/fail-over; memory expansion/over-commit
Virtualisation transparency	Users and software cannot tell the difference between virtual and physical resources
Role of a hypervisor	Allocates host CPU, memory, disk and network while preventing VMs from interfering with each other
Type-1 vs Type-2 hypervisor	Type-1 (bare-metal) runs directly on hardware for best performance; Type-2 runs on top of a host OS for easier setup
Four resources commonly virtualised	CPU (time-shared vCPUs); memory (dedicated page slices); disk (partition/LUN); network (time-shared NIC)
Unique trait of Xen hypervisor	Domain 0 (privileged VM) handles I/O for unprivileged guest VMs
Unique trait of Hyper-V	Root partition manages I/O and guest life-cycle; child partitions are the actual VMs
Unique trait of KVM	Turns the Linux kernel into a bare-metal hypervisor; each guest runs as a normal Linux process
Purpose of QEMU	User-mode or full-system emulator that virtualises I/O devices, often paired with KVM
Purpose of libvirt	Common management API/daemon for controlling many different hypervisors
Amazon EC2 definition	Resizable virtual compute capacity in the AWS cloud
Seven key choices when launching an EC2 instance	AMI; instance type; key pair; network & subnet; security group; storage mapping; IAM role; user-data script (plus optional tags)
Two EC2 storage options	EBS (persistent, survives stop/start); instance store (ephemeral, disappears at stop/terminate)
AWS Nitro System core pieces	Nitro cards for network/storage/monitoring offload + Nitro security chip; lightweight hardware hypervisor
Bare-metal EC2 instance advantage	No Nitro hypervisor layer, giving near-native performance and direct hardware access
Why is EBS “persistent”?	Block volume data survives instance stop/terminate (unless it’s the root volume with delete-on-termination)
Four EBS volume types and typical use	GP SSD (boot/general); IO1/IO2 (high-performance IOPS); ST HDD (big data & logs); SC HDD (cold archival)
Three factors in EBS pricing	Provisioned GB; provisioned IOPS; snapshot storage & cross-Region outbound
EBS elasticity feature	You can manually increase volume size or adjust performance without downtime
Virtual Private Cloud (VPC) definition	Logically isolated virtual network that you define in AWS, spanning multiple AZs with subnets, route tables and gateways
Subnet restrictions	Belongs to exactly one AZ; its CIDR blocks cannot overlap with other subnets in the VPC
Purpose of a CIDR block	Defines the IPv4 or IPv6 address range available to resources inside a VPC or subnet
Three private IPv4 ranges allowed in VPCs	10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16
